"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
23,"student","single","secondary","no",0,"no","no","cellular",7,"aug",217,1,99,7,"success","yes"
29,"admin.","single","tertiary","no",41,"yes","no","cellular",13,"aug",148,2,-1,0,"unknown","yes"
35,"technician","married","tertiary","no",4,"yes","no","cellular",14,"may",88,1,-1,0,"unknown","no"
40,"management","married","tertiary","no",294,"yes","no","cellular",23,"jul",97,5,-1,0,"unknown","no"
29,"management","single","tertiary","no",1445,"no","no","cellular",4,"dec",271,2,-1,0,"unknown","yes"
31,"admin.","single","secondary","no",0,"yes","no","cellular",7,"may",895,2,295,2,"failure","yes"
49,"entrepreneur","married","secondary","no",89,"yes","no","cellular",12,"may",351,1,-1,0,"unknown","no"
28,"admin.","single","tertiary","no",832,"no","no","telephone",29,"mar",433,3,342,1,"failure","yes"
62,"retired","married","primary","no",1084,"no","no","cellular",14,"apr",505,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",2263,"no","no","cellular",7,"may",113,2,-1,0,"unknown","no"
39,"technician","married","primary","no",2118,"yes","no","cellular",17,"apr",266,2,-1,0,"unknown","no"
66,"housemaid","married","primary","no",40,"no","no","telephone",14,"oct",290,2,-1,0,"unknown","yes"
43,"technician","divorced","unknown","no",4389,"no","no","telephone",2,"jul",632,2,85,1,"success","yes"
37,"blue-collar","married","primary","no",461,"yes","no","unknown",30,"may",272,2,-1,0,"unknown","no"
50,"blue-collar","divorced","secondary","no",204,"yes","yes","unknown",14,"may",421,1,-1,0,"unknown","no"
36,"technician","single","secondary","no",-15,"yes","no","unknown",6,"may",341,3,-1,0,"unknown","no"
54,"technician","married","secondary","no",0,"no","no","cellular",6,"nov",464,5,192,8,"other","yes"
49,"services","married","secondary","no",280,"yes","no","telephone",14,"jul",162,3,-1,0,"unknown","no"
38,"technician","married","secondary","no",10596,"no","no","cellular",19,"aug",195,1,197,4,"other","yes"
55,"management","divorced","tertiary","no",8044,"yes","no","cellular",11,"may",175,5,333,19,"other","no"
49,"blue-collar","divorced","secondary","yes",259,"no","no","unknown",16,"may",283,2,-1,0,"unknown","no"
68,"retired","married","tertiary","no",2820,"no","no","cellular",3,"dec",154,1,97,2,"failure","yes"
74,"retired","married","primary","no",670,"no","no","cellular",23,"apr",266,5,-1,0,"unknown","yes"
51,"admin.","single","secondary","no",895,"no","no","cellular",23,"jul",638,2,-1,0,"unknown","yes"
43,"services","married","secondary","no",-236,"yes","no","cellular",28,"jul",745,7,-1,0,"unknown","yes"
58,"technician","married","unknown","no",49,"yes","no","unknown",15,"may",75,2,-1,0,"unknown","no"
30,"management","single","tertiary","no",3410,"yes","no","cellular",18,"may",140,1,-1,0,"unknown","no"
54,"services","married","secondary","no",4482,"yes","no","unknown",20,"may",97,2,-1,0,"unknown","no"
27,"blue-collar","married","secondary","no",0,"yes","no","cellular",17,"jul",444,6,-1,0,"unknown","no"
39,"management","single","tertiary","no",2258,"yes","no","cellular",31,"jul",255,2,-1,0,"unknown","no"
36,"services","divorced","secondary","no",223,"yes","yes","cellular",11,"may",80,1,-1,0,"unknown","no"
41,"management","single","tertiary","no",1982,"no","no","cellular",21,"nov",558,1,-1,0,"unknown","yes"
44,"admin.","married","secondary","no",345,"yes","no","telephone",16,"jul",208,8,-1,0,"unknown","no"
69,"retired","married","unknown","no",426,"no","no","telephone",9,"dec",395,1,-1,0,"unknown","yes"
57,"retired","married","primary","no",9367,"no","no","cellular",11,"feb",981,1,90,6,"success","yes"
55,"services","divorced","secondary","no",322,"yes","no","cellular",28,"jan",342,1,-1,0,"unknown","no"
40,"entrepreneur","married","secondary","no",6403,"no","no","cellular",22,"sep",208,2,-1,0,"unknown","yes"
36,"unemployed","married","secondary","no",439,"yes","no","telephone",6,"feb",18,6,-1,0,"unknown","no"
40,"self-employed","married","secondary","yes",-754,"yes","yes","unknown",3,"jun",941,3,-1,0,"unknown","yes"
30,"management","single","secondary","no",135,"no","no","cellular",14,"aug",112,2,-1,0,"unknown","no"
52,"services","married","secondary","no",-336,"no","yes","unknown",12,"jun",111,8,-1,0,"unknown","no"
29,"services","married","secondary","no",191,"yes","no","cellular",17,"apr",87,1,-1,0,"unknown","no"
37,"unemployed","married","secondary","no",80,"no","no","cellular",3,"feb",248,2,-1,0,"unknown","no"
57,"retired","married","primary","no",-12,"no","yes","cellular",12,"aug",80,8,-1,0,"unknown","no"
41,"unknown","single","unknown","no",942,"no","no","cellular",22,"apr",219,1,-1,0,"unknown","yes"
22,"admin.","single","secondary","no",33,"no","no","cellular",12,"feb",369,1,-1,0,"unknown","yes"
34,"management","divorced","tertiary","no",2240,"no","no","cellular",8,"sep",220,2,184,3,"success","yes"
70,"retired","married","secondary","no",0,"no","no","cellular",27,"oct",258,1,92,5,"success","yes"
40,"management","married","tertiary","no",9366,"no","no","cellular",11,"nov",69,3,-1,0,"unknown","yes"
48,"management","divorced","tertiary","no",503,"no","yes","unknown",12,"jun",1243,7,-1,0,"unknown","yes"
52,"technician","married","secondary","no",1490,"no","yes","unknown",17,"jun",420,4,-1,0,"unknown","no"
60,"blue-collar","married","primary","no",1262,"yes","yes","unknown",13,"may",1015,1,-1,0,"unknown","yes"
37,"admin.","single","secondary","no",796,"yes","no","telephone",29,"jan",143,3,-1,0,"unknown","no"
47,"management","married","primary","no",2793,"yes","no","telephone",25,"jul",102,4,-1,0,"unknown","no"
32,"services","married","secondary","no",207,"yes","no","unknown",23,"may",360,1,-1,0,"unknown","no"
42,"services","married","secondary","no",154,"yes","no","telephone",14,"may",346,5,372,1,"other","no"
47,"services","married","unknown","no",4822,"yes","no","unknown",21,"may",154,5,-1,0,"unknown","no"
33,"management","married","tertiary","no",-139,"no","no","cellular",8,"jul",290,1,-1,0,"unknown","no"
34,"services","married","secondary","no",1337,"no","no","cellular",12,"aug",255,2,104,1,"success","yes"
38,"technician","divorced","tertiary","no",304,"yes","no","cellular",20,"apr",8,2,-1,0,"unknown","no"
35,"admin.","married","secondary","no",-488,"yes","no","unknown",2,"jun",97,4,-1,0,"unknown","no"
59,"management","single","tertiary","no",68,"yes","no","unknown",28,"may",176,2,-1,0,"unknown","no"
38,"blue-collar","married","primary","no",7944,"no","no","unknown",17,"jun",116,3,-1,0,"unknown","no"
26,"services","single","secondary","no",335,"no","no","telephone",29,"jan",393,2,-1,0,"unknown","no"
33,"blue-collar","married","secondary","no",-81,"yes","no","cellular",29,"jan",339,2,-1,0,"unknown","no"
55,"self-employed","married","secondary","no",12159,"yes","no","cellular",20,"nov",142,2,174,2,"failure","no"
43,"blue-collar","married","secondary","no",2160,"no","no","cellular",8,"sep",261,1,98,1,"success","yes"
28,"technician","single","tertiary","no",0,"yes","no","cellular",25,"may",269,1,40,2,"failure","yes"
49,"blue-collar","married","secondary","no",298,"yes","no","cellular",30,"apr",264,2,86,3,"failure","no"
36,"technician","single","secondary","yes",12,"no","no","cellular",12,"aug",587,2,-1,0,"unknown","yes"
61,"technician","married","primary","no",2282,"no","no","cellular",25,"nov",1092,1,-1,0,"unknown","no"
35,"technician","married","secondary","no",840,"yes","no","cellular",29,"jul",281,4,-1,0,"unknown","no"
37,"admin.","divorced","secondary","no",3975,"yes","no","cellular",11,"may",163,2,-1,0,"unknown","no"
35,"blue-collar","married","primary","no",4319,"no","no","cellular",16,"apr",266,1,-1,0,"unknown","no"
38,"services","married","secondary","no",8876,"no","no","cellular",19,"nov",636,1,-1,0,"unknown","no"
38,"management","single","tertiary","no",1746,"yes","no","unknown",21,"may",139,1,-1,0,"unknown","no"
41,"blue-collar","single","primary","no",22,"yes","no","unknown",14,"may",152,1,-1,0,"unknown","no"
60,"admin.","married","secondary","no",3735,"no","no","cellular",22,"mar",248,1,90,10,"success","yes"
78,"retired","divorced","primary","no",527,"no","no","cellular",16,"sep",193,1,-1,0,"unknown","yes"
53,"management","married","tertiary","no",1356,"yes","no","cellular",9,"nov",371,2,96,4,"failure","no"
58,"admin.","married","secondary","no",169,"no","no","cellular",15,"feb",216,1,91,4,"success","yes"
31,"blue-collar","single","secondary","no",1207,"yes","no","cellular",17,"apr",163,2,-1,0,"unknown","no"
28,"student","single","tertiary","no",3,"no","no","cellular",11,"nov",135,2,148,1,"other","no"
51,"blue-collar","married","secondary","no",-92,"yes","no","unknown",4,"jun",28,4,-1,0,"unknown","no"
30,"services","married","secondary","no",129,"yes","no","unknown",26,"may",1446,7,-1,0,"unknown","yes"
57,"technician","married","tertiary","no",1181,"no","no","cellular",29,"jul",169,2,182,2,"success","yes"
